Subject,Group,Category,Type,Metric,Value
sub-018,control,House,Bilateral,Hybrid_Stability,0.6947056592363511
sub-018,control,Face,Asymmetric,Spatial_Drift,8.596555767734495
sub-018,control,Word,Asymmetric,Spatial_Drift,4.035126630549236
sub-018,control,Object,Bilateral,Spatial_Drift,3.860212659039943
sub-018,control,House,Bilateral,Spatial_Drift,11.375467758688805
sub-018,control,Face,Asymmetric,Spatial_Drift,8.25928650999389
sub-018,control,Object,Bilateral,Spatial_Drift,1.0309872695918345
sub-018,control,House,Bilateral,Spatial_Drift,10.476555035969572
sub-018,control,Face,Asymmetric,RDM_Stability,0.9132418334433138
sub-018,control,Word,Asymmetric,RDM_Stability,0.7807241818756495
sub-018,control,Object,Bilateral,RDM_Stability,0.7769943837421028
sub-018,control,House,Bilateral,RDM_Stability,0.7837713016195798
sub-018,control,Face,Asymmetric,RDM_Stability,0.4836545221916953
sub-018,control,Object,Bilateral,RDM_Stability,0.9149716139301536
sub-018,control,House,Bilateral,RDM_Stability,0.9578173866675166
sub-022,control,Face,Asymmetric,Hybrid_Stability,0.5086959812366411
sub-022,control,Word,Asymmetric,Hybrid_Stability,0.9513879741086171
sub-022,control,Object,Bilateral,Hybrid_Stability,0.4372250171796976
sub-022,control,House,Bilateral,Hybrid_Stability,0.8251310767855271
sub-022,control,Face,Asymmetric,Hybrid_Stability,0.7031923809310844
sub-022,control,Word,Asymmetric,Hybrid_Stability,0.233638537078803
sub-022,control,Object,Bilateral,Hybrid_Stability,0.3571115128325208
sub-022,control,House,Bilateral,Hybrid_Stability,0.7287633786678019
sub-022,control,Face,Asymmetric,Spatial_Drift,20.97422860636922
sub-022,control,Word,Asymmetric,Spatial_Drift,2.924246501714185
sub-022,control,Object,Bilateral,Spatial_Drift,3.0234989360658737
sub-022,control,House,Bilateral,Spatial_Drift,4.52302928754482
sub-022,control,Face,Asymmetric,Spatial_Drift,16.144885608069355
sub-022,control,Word,Asymmetric,Spatial_Drift,24.49826113464716
sub-022,control,Object,Bilateral,Spatial_Drift,6.40487828784807
sub-022,control,House,Bilateral,Spatial_Drift,8.647650485004409
sub-022,control,Face,Asymmetric,RDM_Stability,0.7702925767352518
sub-022,control,Word,Asymmetric,RDM_Stability,0.6039223637096228
sub-022,control,Object,Bilateral,RDM_Stability,-0.07273179340027308
sub-022,control,House,Bilateral,RDM_Stability,0.967941583526195
sub-022,control,Face,Asymmetric,RDM_Stability,0.9444126525370148
sub-022,control,Word,Asymmetric,RDM_Stability,0.6328169487245998
sub-022,control,Object,Bilateral,RDM_Stability,0.6415745690893655
sub-022,control,House,Bilateral,RDM_Stability,0.612574249377422
sub-025,control,Face,Asymmetric,Hybrid_Stability,0.8545318360870902
sub-025,control,Word,Asymmetric,Hybrid_Stability,0.946092796723583
sub-025,control,Object,Bilateral,Hybrid_Stability,0.8389476695784653
sub-025,control,House,Bilateral,Hybrid_Stability,0.8481679068981334
sub-025,control,Face,Asymmetric,Hybrid_Stability,0.8356059620864505
