subject,code,group,hemi,roi_category,measured_category,category_type,mds_shift
sub-086,nonOTC086,nonOTC,l,word,face,Unilateral,0.23051575274136243
sub-086,nonOTC086,nonOTC,l,word,word,Unilateral,0.23006515133634486
sub-086,nonOTC086,nonOTC,l,word,object,Bilateral,0.26778351461254785
sub-086,nonOTC086,nonOTC,l,word,house,Bilateral,0.3387072232266888
sub-086,nonOTC086,nonOTC,l,object,face,Unilateral,0.13663638027948993
sub-086,nonOTC086,nonOTC,l,object,word,Unilateral,0.1594152954081269
sub-086,nonOTC086,nonOTC,l,object,object,Bilateral,0.24794662299414186
sub-086,nonOTC086,nonOTC,l,object,house,Bilateral,0.25390053606951485
sub-086,nonOTC086,nonOTC,l,house,face,Unilateral,0.063770402312274
sub-086,nonOTC086,nonOTC,l,house,word,Unilateral,0.2360211429235284
sub-086,nonOTC086,nonOTC,l,house,object,Bilateral,0.1412830703236811
sub-086,nonOTC086,nonOTC,l,house,house,Bilateral,0.19660413533148483
sub-079,OTC079,OTC,r,face,face,Unilateral,0.17903185463043708
sub-079,OTC079,OTC,r,face,word,Unilateral,0.1614431626496219
sub-079,OTC079,OTC,r,face,object,Bilateral,0.08764010972136994
sub-079,OTC079,OTC,r,face,house,Bilateral,0.02655016353332887
sub-079,OTC079,OTC,r,word,face,Unilateral,0.5685081836302128
sub-079,OTC079,OTC,r,word,word,Unilateral,0.3564112810011227
sub-079,OTC079,OTC,r,word,object,Bilateral,0.7905279015186365
sub-079,OTC079,OTC,r,word,house,Bilateral,0.31459607195392314
sub-079,OTC079,OTC,r,object,face,Unilateral,0.39282367014189257
sub-079,OTC079,OTC,r,object,word,Unilateral,0.18892918360317607
sub-079,OTC079,OTC,r,object,object,Bilateral,0.18145272527323383
sub-079,OTC079,OTC,r,object,house,Bilateral,0.7281747806007861
sub-079,OTC079,OTC,r,house,face,Unilateral,0.32461279269336263
sub-079,OTC079,OTC,r,house,word,Unilateral,0.6717563383283623
sub-079,OTC079,OTC,r,house,object,Bilateral,0.6935084772033265
sub-079,OTC079,OTC,r,house,house,Bilateral,0.34809798135794956
sub-018,control018,control,l,face,face,Unilateral,0.03776930545976044
sub-018,control018,control,l,face,word,Unilateral,0.40975959054886646
sub-018,control018,control,l,face,object,Bilateral,0.15122091147007802
sub-018,control018,control,l,face,house,Bilateral,0.32942536808327516
sub-018,control018,control,l,word,face,Unilateral,0.40903190914443105
sub-018,control018,control,l,word,word,Unilateral,0.5715701508318919
sub-018,control018,control,l,word,object,Bilateral,0.2900700991389867
sub-018,control018,control,l,word,house,Bilateral,0.47386913589198265
sub-018,control018,control,l,object,face,Unilateral,0.29921371400843133
sub-018,control018,control,l,object,word,Unilateral,0.08019890201063137
sub-018,control018,control,l,object,object,Bilateral,0.2968650531366623
sub-018,control018,control,l,object,house,Bilateral,0.06590704269665221
sub-018,control018,control,l,house,face,Unilateral,0.4890993302238965
sub-018,control018,control,l,house,word,Unilateral,0.21288509684923904
sub-018,control018,control,l,house,object,Bilateral,0.29140271484244085
sub-018,control018,control,l,house,house,Bilateral,0.2817820765091595
sub-018,control018,control,r,face,face,Unilateral,0.5625118786721821
sub-018,control018,control,r,face,word,Unilateral,0.16459649682412925
sub-018,control018,control,r,face,object,Bilateral,0.366365989367308
sub-018,control018,control,r,face,house,Bilateral,0.24485953426178655
sub-018,control018,control,r,word,face,Unilateral,0.5552438960393755
sub-018,control018,control,r,word,word,Unilateral,0.1881598103334047
sub-018,control018,control,r,word,object,Bilateral,0.34013717633549057
sub-018,control018,control,r,word,house,Bilateral,0.7024932023234429
sub-018,control018,control,r,object,face,Unilateral,0.15763595638170777
sub-018,control018,control,r,object,word,Unilateral,0.24672146758206404
sub-018,control018,control,r,object,object,Bilateral,0.09613192783553282
sub-018,control018,control,r,object,house,Bilateral,0.12745110887720407
sub-018,control018,control,r,house,face,Unilateral,0.13256687797440678
sub-018,control018,control,r,house,word,Unilateral,0.7252883400786887
sub-018,control018,control,r,house,object,Bilateral,0.5535096714623156
sub-018,control018,control,r,house,house,Bilateral,0.3607993371972099
sub-022,control022,control,l,face,face,Unilateral,0.28050172401916396
sub-022,control022,control,l,face,word,Unilateral,0.11618641695901705
sub-022,control022,control,l,face,object,Bilateral,0.184880035961226
sub-022,control022,control,l,face,house,Bilateral,0.14702821254428655
sub-022,control022,control,l,word,face,Unilateral,0.0995294365034405
sub-022,control022,control,l,word,word,Unilateral,0.18607769684696446
sub-022,control022,control,l,word,object,Bilateral,0.07029062788992844
