subject,group,roi,hemi,category,session,distinctiveness
sub-027,control,r_face,r,face,01,0.29403972682805446
sub-027,control,r_face,r,face,02,0.03016270272682207
sub-027,control,r_word,r,word,01,-0.17168213997049397
sub-027,control,r_word,r,word,02,0.10902117840231933
sub-027,control,r_object,r,object,01,0.228150750572415
sub-027,control,r_object,r,object,02,0.24744977813659907
sub-027,control,r_house,r,house,01,0.3930942776063248
sub-027,control,r_house,r,house,02,0.12491071983122426
sub-052,control,l_face,l,face,01,0.5196242525194423
sub-052,control,l_face,l,face,02,0.34960674071927667
sub-052,control,l_word,l,word,01,0.028998417687551705
sub-052,control,l_word,l,word,02,0.05712534579742229
sub-052,control,l_object,l,object,01,0.18187949078097346
sub-052,control,l_object,l,object,02,0.8334580538882426
sub-052,control,l_house,l,house,01,0.40211461762032946
sub-052,control,l_house,l,house,02,0.8237511135034641
sub-052,control,r_face,r,face,01,0.7420629836778798
sub-052,control,r_face,r,face,02,0.33532242947139385
sub-052,control,r_word,r,word,01,0.27607316511799107
sub-052,control,r_word,r,word,02,0.03379822674324062
sub-052,control,r_object,r,object,01,0.2943215318892222
sub-052,control,r_object,r,object,02,0.22982874050018495
sub-052,control,r_house,r,house,01,0.47290171353384713
sub-052,control,r_house,r,house,02,0.6264678786554051
sub-058,control,l_face,l,face,01,0.2865164702993241
sub-058,control,l_face,l,face,02,0.34825044089559243
sub-058,control,l_word,l,word,01,-0.31319230502073603
sub-058,control,l_word,l,word,02,-0.22610068508415257
sub-058,control,l_object,l,object,01,0.25791198117406133
sub-058,control,l_object,l,object,02,0.2009172622430714
sub-058,control,l_house,l,house,01,0.30497893038692997
sub-058,control,l_house,l,house,02,0.21558474981501097
sub-058,control,r_face,r,face,01,0.6337374807503213
sub-058,control,r_face,r,face,02,0.30993736430549773
sub-058,control,r_word,r,word,01,0.1558495426053409
sub-058,control,r_word,r,word,02,-0.4032612359976088
sub-058,control,r_object,r,object,01,0.7767279395781115
sub-058,control,r_object,r,object,02,0.9650718715584405
sub-058,control,r_house,r,house,01,0.14429910038988455
sub-058,control,r_house,r,house,02,0.11945541231184591
sub-062,control,l_face,l,face,01,0.2043839579979085
sub-062,control,l_face,l,face,02,0.41101772009795084
sub-062,control,l_word,l,word,01,-0.09193248949716006
sub-062,control,l_word,l,word,02,-0.03631150870145572
sub-062,control,l_object,l,object,01,0.4372867098467581
sub-062,control,l_object,l,object,02,0.5157248941867338
sub-062,control,l_house,l,house,01,0.38405096382012
sub-062,control,l_house,l,house,02,0.462727919631784
sub-062,control,r_face,r,face,01,-0.07420855669750927
sub-062,control,r_face,r,face,02,0.026836546620466546
sub-062,control,r_word,r,word,01,0.20973455938033436
sub-062,control,r_word,r,word,02,0.17002349076361592
sub-062,control,r_object,r,object,01,0.33160545829035254
sub-062,control,r_object,r,object,02,0.4251137771950703
sub-062,control,r_house,r,house,01,0.5215184017618927
sub-062,control,r_house,r,house,02,0.3838490696372414
sub-064,control,l_face,l,face,01,0.4207871747588315
sub-064,control,l_face,l,face,02,0.36742244284542475
sub-064,control,l_word,l,word,01,-0.02399308613119618
sub-064,control,l_word,l,word,02,-0.11927947911135639
sub-064,control,l_object,l,object,01,0.5774654276918231
sub-064,control,l_object,l,object,02,0.31758477530321266
sub-064,control,l_house,l,house,01,0.47543828448779357
sub-064,control,l_house,l,house,02,0.5712259556038196
sub-064,control,r_face,r,face,01,0.2457507972201136
sub-064,control,r_face,r,face,02,-0.08913376051732465
sub-064,control,r_word,r,word,01,-0.6468782268404255
sub-064,control,r_word,r,word,02,0.055423873090179133
sub-064,control,r_object,r,object,01,0.3289442072912014
sub-064,control,r_object,r,object,02,0.1890311573591865
sub-064,control,r_house,r,house,01,0.8225362233069724
sub-064,control,r_house,r,house,02,0.700070439253464
sub-079,OTC,r_face,r,face,01,0.2487295980656168
sub-079,OTC,r_face,r,face,02,0.1433067130907285
sub-079,OTC,r_word,r,word,01,-0.24038372946698294
sub-079,OTC,r_word,r,word,02,-0.06772546277477341
sub-079,OTC,r_object,r,object,01,-0.07764189371783307
sub-079,OTC,r_object,r,object,02,0.2610314552292107
sub-079,OTC,r_house,r,house,01,-0.024958707171093313
sub-079,OTC,r_house,r,house,02,0.32734453059341945
sub-068,control,l_face,l,face,02,-0.05139642485636157
sub-068,control,l_face,l,face,03,0.011260503208174436
sub-068,control,l_word,l,word,02,-0.10314909061678947
sub-068,control,l_word,l,word,03,-0.03376180863427778
sub-068,control,l_object,l,object,02,0.007623554339270931
sub-068,control,l_object,l,object,03,0.04499037674242542
sub-068,control,l_house,l,house,02,0.5287864072136091
sub-068,control,l_house,l,house,03,-0.038806777215456036
sub-068,control,r_face,r,face,02,0.0980735633671883
sub-068,control,r_face,r,face,03,0.21462077339742222
sub-068,control,r_word,r,word,02,-0.07617442983572863
sub-068,control,r_word,r,word,03,-0.08111675436073958
sub-068,control,r_object,r,object,02,0.021762429507527454
sub-068,control,r_object,r,object,03,0.7533338434257976
sub-068,control,r_house,r,house,02,0.5170758591076422
sub-068,control,r_house,r,house,03,0.14492598086659464
